paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category,average_sentiment
707,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,11,10,FS,-1,Bloggmix 2017,-1
707,naturligtvis,AB,|naturligtvis|,|naturligtvis..ab.1|,|naturligtvis..1:-1.000|,|,|,,12,10,MA,-1,Bloggmix 2017,-1
707,skandalöst,JJ.POS.NEU.SIN.IND.NOM,|skandalös|,|skandalös..av.1|,|skandalös..1:-1.000|,|,|,-1.0,13,10,SP,-1,Bloggmix 2017,-1
707,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,14,10,ES,-1,Bloggmix 2017,-1
707,säkerhetstjänsten,NN.UTR.SIN.DEF.NOM,|säkerhetstjänst|,|säkerhetstjänst..nn.1|,|säkerhetstjänst..1:-1.000|,|säkerhet..nn.1+tjänst..nn.2:4.303e-11|säkerhet..nn.1+tjänst..nn.1:4.303e-11|säkerhet..nn.1+tjäna..vb.1+sten..nn.2:1.544e-27|säkerhet..nn.1+tjäna..vb.1+sten..nn.1:1.544e-27|,|säkerhets+tjänsten|säkerhets+tjän+sten|,,15,16,SS,-1,Bloggmix 2017,-1
707,fortsätter,VB.PRS.AKT,|fortsätta|,|fortsätta..vb.1|,|fortsätta..1:0.593|fortsätta..2:0.407|,|fort..ab.1+sätta..vb.1:1.150e-09|fort..nn.1+sätta..vb.1:3.679e-13|,|fort+sätter|,0.0,16,14,UA,-1,Bloggmix 2017,-1
707,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,17,16,OO,-1,Bloggmix 2017,-1
707,insinuera,VB.INF.AKT,|insinuera|,|insinuera..vb.1|,|insinuera..1:-1.000|,|,|,-1.0,18,17,IF,-1,Bloggmix 2017,-1
707,detta,PN.NEU.SIN.DEF.SUB+OBJ,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,19,18,OO,-1,Bloggmix 2017,-1
707,.,MAD,|,|,|,|,|,,20,10,IP,-1,Bloggmix 2017,-1
708,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2017,1
708,vore,VB.KON.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,-0.0,2,17,MS,-1,Bloggmix 2017,1
708,väl,AB,|väl|,|väl..ab.1|väl_2..ab.1|,|väl..1:1.000|väl..2:0.000|,|,|,,3,2,MA,-1,Bloggmix 2017,1
708,snarast,AB.SUV,|snar|snarast|,|snar..av.1|snarast..ab.1|,|snarast..1:0.425|snar..1:0.356|snar..2:0.138|snarast..2:0.081|,|,|,,4,5,AA,-1,Bloggmix 2017,1
708,konstigt,JJ.POS.NEU.SIN.IND.NOM,|konstig|,|konstig..av.1|,|konstig..1:-1.000|,|,|,1.0,5,2,SP,-1,Bloggmix 2017,1
708,om,PP,|om|,|om..pp.1|,|om..1:-1.000|om..5:-1.000|,|,|,,6,2,OA,-1,Bloggmix 2017,1
708,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,7,10,DT,-1,Bloggmix 2017,1
708,så,AB,|så|,|så..ab.1|,|så..1:-1.000|,|,|,,8,9,AA,-1,Bloggmix 2017,1
708,betydelsefull,JJ.POS.UTR.SIN.IND.NOM,|betydelsefull|,|betydelsefull..av.1|,|betydelsefull..1:-1.000|,|betydelse..nn.1+full..av.1:2.787e-10|,|betydelse+full|,1.0,9,10,AT,-1,Bloggmix 2017,1
708,förändring,NN.UTR.SIN.IND.NOM,|förändring|,|förändring..nn.1|,|förändring..1:-1.000|,|föra..vb.1+ändring..nn.1:6.548e-12|för..nn.1+ändring..nn.1:1.364e-14|föra..vb.1+ände..nn.1+ring..nn.1:1.752e-20|föra..vb.1+ända..nn.2+ring..nn.2:1.752e-20|föra..vb.1+ända..nn.2+ring..nn.1:1.752e-20|föra..vb.1+ände..nn.1+ring..nn.2:1.752e-20|för..nn.1+ände..nn.1+ring..nn.1:1.620e-23|för..nn.1+ända..nn.2+ring..nn.2:1.620e-23|för..nn.1+ända..nn.2+ring..nn.1:1.620e-23|för..nn.1+ände..nn.1+ring..nn.2:1.620e-23|,|för+ändring|för+änd+ring|,0.0,10,6,PA,-1,Bloggmix 2017,1
708,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,11,10,ET,-1,Bloggmix 2017,1
708,utvecklingen,NN.UTR.SIN.DEF.NOM,|utveckling|,|utveckling..nn.1|,|utveckling..1:1.000|utveckling..2:0.000|,|ut..ab.1+veck..nn.1+lina..nn.1+gen..nn.1:4.730e-25|ut..ab.1+veck..nn.1+lin..nn.1+gen..nn.1:4.730e-25|ut..ab.1+vecka..nn.1+lina..nn.1+gen..nn.1:4.730e-25|ut..ab.1+vecka..nn.1+lin..nn.1+gen..nn.1:4.730e-25|ut..ab.1+vecka..vb.1+lin..nn.1+gen..nn.1:2.554e-35|ut..ab.1+vecka..vb.1+lina..nn.1+gen..nn.1:2.554e-35|,|ut+veck+lin+gen|,0.0,12,11,PA,-1,Bloggmix 2017,1
708,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,13,12,ET,-1,Bloggmix 2017,1
708,Syrien,PM.NOM,|Syrien|,|Syrien..pm.1|,|Syrien..1:-1.000|,|,|,,14,13,PA,-1,Bloggmix 2017,1
708,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,15,2,,-1,Bloggmix 2017,1
708,gavs,VB.PRT.SFO,|ge|,|ge..vb.1|,|ge..1:0.515|givas..1:0.485|,|,|,0.0,16,17,CJ,-1,Bloggmix 2017,1
708,stort,AB,|stor|,|stor..av.1|,|stor..1:-1.000|,|,|,0.0,17,0,ROOT,-1,Bloggmix 2017,1
708,utrymme,NN.NEU.SIN.IND.NOM,|utrymme|,|utrymme..nn.1|,|utrymme..1:0.809|utrymme..2:0.191|,|,|,0.0,18,17,OO,-1,Bloggmix 2017,1
708,.,MAD,|,|,|,|,|,,19,17,IP,-1,Bloggmix 2017,1
709,Amnesty,PM.NOM,|Amnesty|,|Amnesty..pm.1|,|Amnesty..1:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2017,-1
709,bör,VB.PRS.AKT,|böra|,|böra..vb.1|,|böra..1:-1.000|,|,|,0.0,2,0,ROOT,-1,Bloggmix 2017,-1
709,utmana,VB.INF.AKT,|utmana|,|utmana..vb.1|,|utmana..1:0.592|utmana..2:0.408|,|ut..ab.1+mana..vb.1:1.374e-10|,|ut+mana|,0.0,3,2,VG,-1,Bloggmix 2017,-1
709,detta,DT.NEU.SIN.DEF,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,4,5,DT,-1,Bloggmix 2017,-1
709,brott,NN.NEU.SIN.IND.NOM,|brott|,|brott..nn.1|brott..nn.2|,|brott..1:0.885|brott..3:0.094|brott..2:0.021|,|,|,-1.0,5,3,OO,-1,Bloggmix 2017,-1
709,",",MID,|,|,|,|,|,,6,3,IK,-1,Bloggmix 2017,-1
709,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,7,8,,-1,Bloggmix 2017,-1
709,godkänna,VB.INF.AKT,|godkänna|,|godkänna..vb.1|,|godkänna..1:-1.000|,|god..av.1+känna..vb.2:2.015e-10|god..av.1+känna..vb.1:2.015e-10|gode..nn.1+känna..vb.2:1.499e-19|gode..nn.1+känna..vb.1:1.499e-19|,|god+känna|,-1.0,8,2,+F,-1,Bloggmix 2017,-1
709,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,9,8,OO,-1,Bloggmix 2017,-1
709,.,MAD,|,|,|,|,|,,10,2,IP,-1,Bloggmix 2017,-1
710,De,PN.UTR+NEU.PLU.DEF.SUB,|de|,|de..pn.1|,|de..1:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2017,-1
710,testade,VB.PRT.AKT,|testa|,|testa..vb.1|,|testa..1:0.600|testa..2:0.400|,|,|,-0.0,2,6,SS,-1,Bloggmix 2017,-1
710,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,3,4,CJ,-1,Bloggmix 2017,-1
710,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,4,2,OO,-1,Bloggmix 2017,-1
710,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,5,4,CJ,-1,Bloggmix 2017,-1
710,fungerade,VB.PRT.AKT,|fungera|,|fungera..vb.1|,|fungera..1:0.628|fungera..2:0.276|fungera..3:0.096|,|,|,-1.0,6,0,ROOT,-1,Bloggmix 2017,-1
710,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,7,6,,-1,Bloggmix 2017,-1
710,.,MAD,|,|,|,|,|,,8,6,IP,-1,Bloggmix 2017,-1
711,Bruce,PM.NOM,|Bruce|,|Bruce..pm.1|,|Bruce..1:-1.000|,|,|,,1,0,ROOT,-1,Bloggmix 2017,-1
711,Gagnon,PM.NOM,|,|,|,|,|,,2,1,HD,-1,Bloggmix 2017,-1
711,:,MID,|,|,|,|,|,,3,1,IQ,-1,Bloggmix 2017,-1
711,Vi,PN.UTR.PLU.DEF.SUB,|vi|,|vi..pn.1|,|vi..1:-1.000|,|,|,,4,5,SS,-1,Bloggmix 2017,-1
711,vill,VB.PRS.AKT,|vilja|,|vilja..vb.1|,|vilja..1:-1.000|,|,|,-0.0,5,1,MS,-1,Bloggmix 2017,-1
711,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,6,5,,-1,Bloggmix 2017,-1
711,ha,VB.INF.AKT,|ha|,|ha..vb.1|,|ha..1:0.889|ha..3:0.111|,|,|,-0.0,7,5,VG,-1,Bloggmix 2017,-1
711,krig,NN.NEU.SIN.IND.NOM,|krig|,|krig..nn.1|,|krig..1:-1.000|,|,|,-1.0,8,7,OO,-1,Bloggmix 2017,-1
711,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,9,8,ET,-1,Bloggmix 2017,-1
711,Ryssland,PM.NOM,|Ryssland|,|Ryssland..pm.1|,|Ryssland..1:-1.000|,|,|,,10,9,PA,-1,Bloggmix 2017,-1
711,.,MAD,|,|,|,|,|,,11,1,IP,-1,Bloggmix 2017,-1
712,Medan,SN,|medan|,|medan..sn.1|,|medan..1:-1.000|medan..2:-1.000|,|,|,,1,14,AA,-1,Bloggmix 2017,1
712,pressmeddelanden,NN.NEU.PLU.IND.NOM,|pressmeddelande|,|pressmeddelande..nn.1|,|pressmeddelande..1:-1.000|,|press..nn.1+meddelande..nn.1:5.387e-11|press..nn.2+meddelande..nn.1:5.387e-11|pressa..vb.1+meddelande..nn.1:8.746e-21|press..nn.1+smed..nn.1+delande..nn.1:1.688e-20|press..nn.2+smed..nn.1+delande..nn.1:1.688e-20|press..nn.2+mede..nn.1+delande..nn.1:2.518e-27|press..nn.1+mede..nn.1+delande..nn.1:2.518e-27|pressa..vb.1+smed..nn.1+delande..nn.1:6.174e-30|pressa..vb.1+mede..nn.1+delande..nn.1:9.212e-37|,|press+meddelanden|press+smed+delanden|press+med+delanden|,,2,3,SS,-1,Bloggmix 2017,1
712,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.990|ha..3:0.010|,|,|,0.0,3,1,UA,-1,Bloggmix 2017,1
712,utfärdats,VB.SUP.SFO,|utfärda|,|utfärda..vb.1|,|utfärda..1:-1.000|,|ut..ab.1+färdas..vb.1:5.413e-11|,|ut+färdats|,0.0,4,3,VG,-1,Bloggmix 2017,1
712,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,5,4,RA,-1,Bloggmix 2017,1
712,olika,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|olik|,|olik..av.1|,|olik..1:-1.000|,|,|,0.0,6,7,AT,-1,Bloggmix 2017,1
712,MSF,PM.NOM,|,|,|,|,|,,7,8,DT,-1,Bloggmix 2017,1
712,kontor,NN.NEU.SIN.IND.NOM,|kontor|,|kontor..nn.1|,|kontor..1:-1.000|,|,|,0.0,8,5,PA,-1,Bloggmix 2017,1
712,runt,AB,|rund|runt|runt om|,|rund..av.1|runt..ab.1|runt_om..ppm.1|runt_om..abm.1|,|runtom..2:0.930|runt..3:0.059|runt..2:0.007|rund..1:0.003|runtom..1:0.000|,|,|,,9,10,CA,-1,Bloggmix 2017,1
712,om,SN,|om|runt om:09|,|om..sn.1|runt_om..ppm.1:09|runt_om..abm.1:09|,|om..2:-1.000|om..3:-1.000|runtom..1:09:-1.000|runtom..2:09:-1.000|,|,|,,10,4,AA,-1,Bloggmix 2017,1
712,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,11,10,ET,-1,Bloggmix 2017,1
712,världen,NN.UTR.SIN.DEF.NOM,|värld|,|värld..nn.1|,|värld..1:-1.000|,|,|,0.0,12,11,PA,-1,Bloggmix 2017,1
712,",",MID,|,|,|,|,|,,13,14,IK,-1,Bloggmix 2017,1
712,verkar,VB.PRS.AKT,|verka|,|verka..vb.1|,|verka..1:0.662|verka..4:0.192|verka..2:0.127|verka..3:0.019|,|,|,-0.0,14,0,ROOT,-1,Bloggmix 2017,1
712,MSF,PM.NOM,|,|,|,|,|,,15,14,SS,-1,Bloggmix 2017,1
712,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,16,14,,-1,Bloggmix 2017,1
712,ha,VB.INF.AKT,|ha|,|ha..vb.1|,|ha..1:0.991|ha..3:0.009|,|,|,-0.0,17,14,VG,-1,Bloggmix 2017,1
712,tillgång,NN.UTR.SIN.IND.NOM,|tillgång|,|tillgång..nn.1|,|tillgång..1:-1.000|,|till..ab.1+gång..nn.1:1.005e-08|till..ab.1+gång..nn.3:1.005e-08|till..ab.1+gång..nn.2:1.005e-08|,|till+gång|,1.0,18,17,OO,-1,Bloggmix 2017,1
712,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,19,17,OA,-1,Bloggmix 2017,1
712,kontrollerbara,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|kontrollerbar|,|kontrollerbar..av.1|,|kontrollerbar..1:0.515|kontrollerbar..2:0.485|,|kont..nn.1+roller..nn.1+bar..av.1:3.329e-22|kontroll..nn.1+lera..nn.1+bar..av.1:1.164e-27|kontroll..nn.2+lera..nn.1+bar..av.1:1.164e-27|kontroll..nn.1+era..nn.1+bar..av.1:1.164e-27|kontroll..nn.2+era..nn.1+bar..av.1:1.164e-27|kon..nn.1+troll..nn.1+era..nn.1+bar..av.1:4.441e-35|kona..nn.1+troll..nn.1+era..nn.1+bar..av.1:4.441e-35|kont..nn.1+roll..nn.1+lera..nn.1+bar..av.1:4.128e-35|kont..nn.1+roll..nn.2+lera..nn.1+bar..av.1:4.128e-35|kont..nn.1+roll..nn.1+era..nn.1+bar..av.1:4.128e-35|kont..nn.1+roll..nn.2+era..nn.1+bar..av.1:4.128e-35|kona..nn.1+trolla..vb.1+era..nn.1+bar..av.1:2.625e-46|kon..nn.1+trolla..vb.1+era..nn.1+bar..av.1:2.625e-46|kont..nn.1+rolla..vb.1+lera..nn.1+bar..av.1:2.425e-47|kont..nn.1+rolla..vb.1+era..nn.1+bar..av.1:2.425e-47|,|kont+roller+bara|kontroll+ler+bara|kontroll+er+bara|kon+troll+er+bara|kont+roll+ler+bara|kont+roll+er+bara|,0.0,20,21,AT,-1,Bloggmix 2017,1
712,uppgifter,NN.UTR.PLU.IND.NOM,|uppgift|,|uppgift..nn.1|,|uppgift..1:0.905|uppgift..2:0.095|,|upp..ab.1+gift..nn.1:2.295e-10|,|upp+gifter|,0.0,21,19,PA,-1,Bloggmix 2017,1
712,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,22,21,ET,-1,Bloggmix 2017,1
712,Syrien,PM.NOM,|Syrien|,|Syrien..pm.1|,|Syrien..1:-1.000|,|,|,,23,22,PA,-1,Bloggmix 2017,1
712,.,MAD,|,|,|,|,|,,24,14,IP,-1,Bloggmix 2017,1
713,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2017,1
713,hoppas,VB.PRS.SFO,|hoppa|hoppas|,|hoppa..vb.1|hoppas..vb.1|,|hoppas..1:0.641|hoppa..1:0.343|hoppa..2:0.016|,|,|,1.0,2,0,ROOT,-1,Bloggmix 2017,1
713,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,3,2,OO,-1,Bloggmix 2017,1
713,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,4,6,SS,-1,Bloggmix 2017,1
713,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,5,6,,-1,Bloggmix 2017,1
713,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,-0.0,6,3,UA,-1,Bloggmix 2017,1
713,dit,HA,|dit|,|dit..ab.1|,|dit..1:-1.000|,|,|,,7,9,RA,-1,Bloggmix 2017,1
713,han,PN.UTR.SIN.DEF.SUB,|han|,|han..pn.1|,|han..1:-1.000|,|,|,,8,9,SS,-1,Bloggmix 2017,1
713,vill,VB.PRS.AKT,|vilja|,|vilja..vb.1|,|vilja..1:-1.000|,|,|,-0.0,9,6,TA,-1,Bloggmix 2017,1
713,.,MAD,|,|,|,|,|,,10,9,IP,-1,Bloggmix 2017,1
714,Uppgifterna,NN.UTR.PLU.DEF.NOM,|uppgift|,|uppgift..nn.1|,|uppgift..1:0.834|uppgift..2:0.166|,|upp..ab.1+gift..nn.1:3.366e-13|,|upp+gifterna|,0.0,1,2,SS,-1,Bloggmix 2017,1
714,ska,VB.PRS.AKT,|skola|,|skola..vb.2|,|skola..4:-1.000|,|,|,0.0,2,0,ROOT,-1,Bloggmix 2017,1
714,vara,VB.INF.AKT,|vara|,|vara..vb.1|vara..vb.2|,|vara..1:0.925|vara..2:0.067|vara..3:0.008|,|,|,0.0,3,2,VG,-1,Bloggmix 2017,1
714,relevanta,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|relevant|,|relevant..av.1|,|relevant..1:-1.000|,|,|,1.0,4,3,SP,-1,Bloggmix 2017,1
714,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,5,3,OA,-1,Bloggmix 2017,1
714,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,6,8,DT,-1,Bloggmix 2017,1
714,valda,PC.PRF.UTR+NEU.SIN.DEF.NOM,|välja|,|välja..vb.1|,|välja..1:-1.000|,|,|,0.0,7,8,AT,-1,Bloggmix 2017,1
714,ämnet,NN.NEU.SIN.DEF.NOM,|ämne|,|ämne..nn.1|,|ämne..3:0.576|ämne..4:0.277|ämne..2:0.114|ämne..1:0.033|,|,|,0.0,8,9,CJ,-1,Bloggmix 2017,1
714,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,9,5,PA,-1,Bloggmix 2017,1
714,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,10,11,,-1,Bloggmix 2017,1
714,ofullständiga,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|ofullständig|,|ofullständig..av.1|,|ofullständig..1:-1.000|,|,|,,11,9,AT,-1,Bloggmix 2017,1
714,.,MAD,|,|,|,|,|,,12,2,IP,-1,Bloggmix 2017,1
715,Ex-president,PM.NOM,|,|,|,|,|,,1,3,SS,-1,Bloggmix 2017,1
715,Carter,PM.NOM,|Carter|,|Carter..pm.1|,|Carter..1:-1.000|,|,|,,2,1,HD,-1,Bloggmix 2017,1
715,tillhör,VB.PRS.AKT,|tillhöra|,|tillhöra..vb.1|,|tillhöra..1:0.941|tillhöra..2:0.059|,|till..ab.1+höra..vb.1:3.228e-09|,|till+hör|,0.0,3,0,ROOT,-1,Bloggmix 2017,1
715,dem,PN.UTR+NEU.PLU.DEF.OBJ,|de|,|de..pn.1|,|de..1:-1.000|,|,|,,4,3,OO,-1,Bloggmix 2017,1
715,som,HP.-.-.-,|,|,|,|,|,,5,6,SS,-1,Bloggmix 2017,1
715,menar,VB.PRS.AKT,|mena|,|mena..vb.1|,|mena..1:0.929|mena..2:0.071|,|,|,0.0,6,4,ET,-1,Bloggmix 2017,1
715,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,7,6,OO,-1,Bloggmix 2017,1
715,USA,PM.NOM,|USA|,|USA..pma.1|,|USA..1:-1.000|,|,|,,8,11,SS,-1,Bloggmix 2017,1
715,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,9,11,,-1,Bloggmix 2017,1
715,längre,AB.KOM,|länge|längre|lång|,|länge..ab.1|längre..ab.1|lång..av.1|,|länge..1:0.461|längre..1:0.388|lång..1:0.151|,|,|,,10,11,TA,-1,Bloggmix 2017,1
715,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.972|ha..3:0.028|,|,|,-0.0,11,7,UA,-1,Bloggmix 2017,1
715,ett,DT.NEU.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,12,14,DT,-1,Bloggmix 2017,1
715,demokratiskt,JJ.POS.NEU.SIN.IND.NOM,|demokratisk|,|demokratisk..av.1|,|demokratisk..1:-1.000|,|,|,1.0,13,14,AT,-1,Bloggmix 2017,1
715,valsystem,NN.NEU.SIN.IND.NOM,|valsystem|,|,|,|val..nn.2+system..nn.1:2.787e-09|val..nn.1+system..nn.1:2.787e-09|,|val+system|,,14,11,OO,-1,Bloggmix 2017,1
715,.,MAD,|,|,|,|,|,,15,3,IP,-1,Bloggmix 2017,1
716,Olsson,PM.NOM,|Olsson|,|Olsson..pm.1|,|Olsson..1:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2017,1
716,inleder,VB.PRS.AKT,|inleda|,|inleda..vb.1|,|inleda..1:-1.000|,|in..ab.1+leda..vb.1:7.170e-09|,|in+leder|,0.0,2,0,ROOT,-1,Bloggmix 2017,1
716,sitt,PS.NEU.SIN.DEF,|sig|,|sig..pn.1|,|sig..1:-1.000|,|,|,,3,4,DT,-1,Bloggmix 2017,1
716,grävjobb,NN.NEU.SIN.IND.NOM,|grävjobb|,|,|,|gräva..vb.1+jobb..nn.1:4.908e-12|gräva..vb.2+jobb..nn.1:4.908e-12|,|gräv+jobb|,,4,2,OO,-1,Bloggmix 2017,1
716,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,5,2,PL,-1,Bloggmix 2017,1
716,brasklappen,NN.UTR.SIN.DEF.NOM,|brasklapp|,|brasklapp..nn.1|,|brasklapp..1:-1.000|,|brasklapp..nn.1+pen..nn.1:2.287e-13|brasa..nn.1+klapp..nn.1:7.207e-21|braska..vb.1+lapp..nn.1:5.583e-21|brasa..nn.1+klapp..nn.1+pen..nn.1:9.162e-27|brasa..nn.1+klappa..nn.1+pen..nn.1:9.162e-27|braska..vb.1+lapp..nn.1+pen..nn.1:2.395e-27|brasa..nn.1+klappa..vb.1+pen..nn.1:1.103e-36|braska..vb.1+lapa..vb.1+pen..nn.1:3.679e-37|braska..vb.1+lappa..vb.1+pen..nn.1:3.679e-37|,|brasklapp+pen|bras+klappen|brask+lappen|bras+klapp+pen|brask+lapp+pen|brask+lap+pen|,,6,5,HD,-1,Bloggmix 2017,1
716,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,7,2,OO,-1,Bloggmix 2017,1
716,rapporten,NN.UTR.SIN.DEF.NOM,|rapport|,|rapport..nn.1|,|rapport..1:-1.000|,|rapp..nn.3+ort..nn.2:3.736e-12|rapp..nn.3+ort..nn.1:3.736e-12|rapp..nn.1+ort..nn.2:3.736e-12|rapp..nn.1+ort..nn.1:3.736e-12|rapp..nn.2+ort..nn.1:3.736e-12|rapp..nn.2+ort..nn.2:3.736e-12|rapp..nn.3+ort..nn.3:3.736e-12|rapp..nn.1+ort..nn.3:3.736e-12|rapp..nn.2+ort..nn.3:3.736e-12|rapp..nn.2+port..nn.1:1.644e-12|rapp..nn.3+port..nn.1:1.644e-12|rapp..nn.1+port..nn.1:1.644e-12|rap..nn.1+port..nn.1:1.349e-19|rap..nn.2+port..nn.1:1.349e-19|rapp..av.1+ort..nn.1:2.964e-20|rapp..av.1+ort..nn.2:2.964e-20|rapp..av.1+ort..nn.3:2.964e-20|rapp..av.1+port..nn.1:1.304e-20|rappa..vb.1+ort..nn.1:1.128e-20|rappa..vb.1+ort..nn.3:1.128e-20|rappa..vb.1+ort..nn.2:1.128e-20|rappa..vb.1+port..nn.1:4.966e-21|rapp..nn.3+por..nn.1+ten..nn.1:1.414e-19|rapp..nn.1+por..nn.1+ten..nn.1:1.414e-19|rapp..nn.2+por..nn.1+ten..nn.1:1.414e-19|rap..nn.2+por..nn.1+ten..nn.1:1.160e-26|rap..nn.1+por..nn.1+ten..nn.1:1.160e-26|rapp..av.1+por..nn.1+ten..nn.1:2.936e-27|rappa..vb.1+por..nn.1+ten..nn.1:9.627e-28|,|rapp+orten|rapp+porten|rap+porten|rapp+por+ten|rap+por+ten|,-0.0,8,10,SS,-1,Bloggmix 2017,1
716,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,9,10,,-1,Bloggmix 2017,1
716,pekar,VB.PRS.AKT,|peka|peka ut|,|peka..vb.1|peka_ut..vbm.1|,|peka..1:-1.000|peka_ut..1:-1.000|,|,|,-0.0,10,7,UA,-1,Bloggmix 2017,1
716,ut,PL,|ut|peka ut:10|,|ut..ab.1|peka_ut..vbm.1:10|,|ut..1:0.968|ut..2:0.032|peka_ut..1:10:-1.000|,|,|,,11,10,PL,-1,Bloggmix 2017,1
716,någon,PN.UTR.SIN.IND.SUB+OBJ,|någon|,|någon..pn.1|,|någon..1:-1.000|,|,|,,12,10,OO,-1,Bloggmix 2017,1
716,som,HP.-.-.-,|,|,|,|,|,,13,15,DT,-1,Bloggmix 2017,1
716,Putin-agent,NN.UTR.SIN.IND.NOM,|Putin-agent|putin-agent|,|,|,|Putin..pm.1+agent..nn.1:1.354e-26|puta..nn.1+in..ab.1+agent..nn.1:2.370e-21|puta..vb.1+in..ab.1+agent..nn.1:9.852e-32|,|Putin-+agent|put+in-+agent|,,14,15,CJ,-1,Bloggmix 2017,1
716,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,15,12,ET,-1,Bloggmix 2017,1
716,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,16,15,CJ,-1,Bloggmix 2017,1
716,man,PN.UTR.SIN.IND.SUB,|man|,|man..pn.1|,|man..1:-1.000|,|,|,,17,19,SS,-1,Bloggmix 2017,1
716,givetvis,AB,|givetvis|,|givetvis..ab.1|,|givetvis..1:-1.000|,|,|,,18,19,MA,-1,Bloggmix 2017,1
716,kan,VB.PRS.AKT,|kunna|,|kunna..vb.1|,|kunna..1:0.513|kunna..4:0.253|kunna..3:0.159|kunna..2:0.075|,|,|,0.0,19,16,UA,-1,Bloggmix 2017,1
716,vara,VB.INF.AKT,|vara|,|vara..vb.1|vara..vb.2|,|vara..1:0.553|vara..2:0.321|vara..3:0.126|,|,|,0.0,20,19,VG,-1,Bloggmix 2017,1
716,mot,PP,|mot|,|mot..pp.1|,|mot..1:-1.000|mot..2:-1.000|,|,|,,21,20,OA,-1,Bloggmix 2017,1
